=== MATCH SCHEDULE FOR SATURDAY ===
08:00 PM - 08:10 PM | CMS212 | Court 8
08:00 PM - 08:10 PM | CMS213 | Court 9
08:00 PM - 08:10 PM | CMS214 | Court 10
08:10 PM - 08:20 PM | CMS215 | Court 15
08:10 PM - 08:40 PM | AWS5   | Court 1
08:10 PM - 08:20 PM | BMS35  | Court 16
08:10 PM - 08:20 PM | BMS36  | Court 17
08:10 PM - 08:20 PM | BMS38  | Court 17
08:10 PM - 08:20 PM | BMS40  | Court 11
08:10 PM - 08:20 PM | BMS41  | Court 14
08:10 PM - 08:20 PM | BMS42  | Court 2
08:10 PM - 08:20 PM | BMS45  | Court 3
08:10 PM - 08:20 PM | BMS47  | Court 8
08:10 PM - 08:20 PM | DMS208 | Court 9
08:10 PM - 08:20 PM | DMS209 | Court 10
08:20 PM - 08:30 PM | DMS210 | Court 15
08:20 PM - 08:30 PM | DMS211 | Court 16
08:20 PM - 08:30 PM | DMS212 | Court 17
08:20 PM - 08:30 PM | DMS213 | Court 17
08:20 PM - 08:30 PM | DMS214 | Court 11
08:20 PM - 08:30 PM | DMS215 | Court 14
08:20 PM - 08:30 PM | CXD96  | Court 2
08:20 PM - 08:30 PM | CXD97  | Court 3
08:20 PM - 08:30 PM | CXD98  | Court 4
08:20 PM - 08:30 PM | CXD99  | Court 5
08:20 PM - 08:30 PM | CXD100 | Court 6
08:20 PM - 08:30 PM | CXD101 | Court 7
08:20 PM - 08:30 PM | CXD102 | Court 8
08:20 PM - 08:30 PM | CXD103 | Court 9
08:20 PM - 08:30 PM | DXD96  | Court 10
08:30 PM - 08:40 PM | DXD97  | Court 15
08:30 PM - 08:40 PM | DXD98  | Court 16
08:30 PM - 08:40 PM | DXD99  | Court 17
08:30 PM - 08:40 PM | DXD100 | Court 17
08:30 PM - 08:40 PM | DXD101 | Court 11
08:30 PM - 08:40 PM | DXD102 | Court 12
08:30 PM - 08:40 PM | DXD103 | Court 13
08:30 PM - 08:40 PM | BXD41  | Court 14
08:30 PM - 08:40 PM | BXD42  | Court 2
08:30 PM - 08:40 PM | BXD43  | Court 3
08:30 PM - 08:40 PM | BXD44  | Court 4
08:30 PM - 08:40 PM | BXD45  | Court 5
08:30 PM - 08:40 PM | BXD46  | Court 6
08:30 PM - 08:40 PM | BXD47  | Court 7
08:30 PM - 09:00 PM | DWS29  | Court 8
08:30 PM - 09:00 PM | DWS30  | Court 9
08:30 PM - 08:40 PM | DWS48  | Court 10
08:40 PM - 08:50 PM | DWS49  | Court 15
08:40 PM - 08:50 PM | DWS50  | Court 16
08:40 PM - 08:50 PM | DWS51  | Court 17
08:40 PM - 09:10 PM | CMS125 | Court 17
08:40 PM - 09:10 PM | CMS126 | Court 11
08:40 PM - 08:50 PM | CMS216 | Court 12
08:40 PM - 08:50 PM | CMS217 | Court 13
08:40 PM - 08:50 PM | CMS218 | Court 14
08:40 PM - 08:50 PM | CMS219 | Court 1
08:40 PM - 09:10 PM | CWS13  | Court 2
08:40 PM - 09:10 PM | CWS14  | Court 3
08:40 PM - 08:50 PM | CWS17  | Court 4
08:40 PM - 08:50 PM | CWS18  | Court 5
08:40 PM - 08:50 PM | CWS20  | Court 6
08:40 PM - 08:50 PM | CWS23  | Court 7
08:40 PM - 09:10 PM | AWS6   | Court 10
08:50 PM - 09:20 PM | BMS29  | Court 12
08:50 PM - 09:20 PM | BMS30  | Court 13
08:50 PM - 09:00 PM | BMS48  | Court 15
08:50 PM - 09:00 PM | BMS49  | Court 16
08:50 PM - 09:00 PM | BMS50  | Court 17
08:50 PM - 09:00 PM | BMS51  | Court 14
08:50 PM - 09:20 PM | DMS125 | Court 1
08:50 PM - 09:20 PM | DMS126 | Court 4
08:50 PM - 09:00 PM | DMS216 | Court 5
08:50 PM - 09:00 PM | DMS217 | Court 6
08:50 PM - 09:00 PM | DMS218 | Court 7
09:00 PM - 09:10 PM | DMS219 | Court 15
09:00 PM - 09:30 PM | CXD61  | Court 16
09:00 PM - 09:30 PM | CXD62  | Court 17
09:00 PM - 09:10 PM | CXD104 | Court 14
09:00 PM - 09:10 PM | CXD105 | Court 5
09:00 PM - 09:10 PM | CXD106 | Court 6
09:00 PM - 09:10 PM | CXD107 | Court 7
09:00 PM - 09:30 PM | AXD13  | Court 8
09:00 PM - 09:30 PM | AXD14  | Court 9
09:10 PM - 09:20 PM | AXD21  | Court 11
09:10 PM - 09:20 PM | AXD22  | Court 14
09:10 PM - 09:40 PM | AMS13  | Court 2
09:10 PM - 09:40 PM | AMS14  | Court 3
09:10 PM - 09:20 PM | AMS17  | Court 5
09:10 PM - 09:20 PM | AMS18  | Court 6
09:10 PM - 09:20 PM | AMS19  | Court 7
09:10 PM - 09:20 PM | AMS20  | Court 10
09:10 PM - 09:40 PM | DXD61  | Court 15
09:10 PM - 09:40 PM | DXD62  | Court 17
09:20 PM - 09:30 PM | DXD104 | Court 11
09:20 PM - 09:30 PM | DXD105 | Court 12
09:20 PM - 09:30 PM | DXD106 | Court 13
09:20 PM - 09:30 PM | DXD107 | Court 14
09:20 PM - 09:50 PM | BXD29  | Court 1
09:20 PM - 09:50 PM | BXD30  | Court 4
09:20 PM - 09:30 PM | BXD48  | Court 5
09:20 PM - 09:30 PM | BXD49  | Court 6
09:20 PM - 09:30 PM | BXD50  | Court 7
09:20 PM - 09:30 PM | BXD51  | Court 10
09:30 PM - 09:40 PM | DWS52  | Court 16
09:30 PM - 09:40 PM | DWS53  | Court 17
